"session_id","referrer","sex","d_art","iat_exclude"
2374915,"pi","m",0.410907261457122,"Include"
2374924,"pi","f",1.15079383137316,"Include"
2374971,"pi","m",0.104662348360925,"Include"
2375038,"pi","f",-0.492848764352907,"Include"
2375052,"pi","f",1.25836085267232,"Include"
2375054,"pi","f",0.764131714918917,"Include"
2375070,"pi","f",0.630030171631588,"Include"
2375084,"pi","f",0.958310905572392,"Include"
2375142,"pi","f",1.17990534359997,"Include"
2375144,"pi","f",0.408170716725825,"Include"
2375157,"pi","f",0.37983909771673,"Include"
2375168,"pi","f",0.876356502616133,"Include"
2375176,"pi","m",0.945332308539056,"Include"
2375182,"pi","m",1.00829752304746,"Include"
2375215,"pi","f",0.487736633726355,"Include"
2375225,"pi","f",1.01281945857734,"Include"
2375279,"pi","f",1.03126551837533,"Include"
2375322,"pi","f",0.609094631717176,"Include"
2375383,"pi","m",0.444710060565889,"Include"
2375443,"pi","f",1.22273929003047,"Include"
2375461,"pi","f",0.602387425697468,"Include"
2375465,"pi","f",0.69429841158836,"Include"
2375473,"pi","m",1.02853425831416,"Include"
2375480,"pi","m",-0.581731071722633,"Include"
2375482,"pi","f",0.364458176316594,"Include"
2375499,"pi","m",0.972941231016302,"Include"
2375682,"pi","f",0.450505446744137,"Include"
2375747,"pi","f",-0.426508915822239,"Include"
2375751,"pi","f",1.40264172044119,"Include"
2375787,"pi","f",0.372032166965901,"Include"
2375799,"pi","f",0.723660498499361,"Include"
2375811,"pi","m",0.437887406148536,"Include"
2375832,"pi","f",1.26159504289472,"Include"
2375851,"pi","f",0.923305799231291,"Include"
2375858,"pi","m",0.567373906729006,"Include"
2375902,"pi","f",0.0900823585721818,"Include"
2375912,"pi","f",0.141144992919654,"Include"
2375933,"pi","f",0.028536273550776,"Include"
2375936,"pi","f",0.866924579637908,"Include"
2375978,"pi","m",0.0375850009288341,"Include"
2375984,"pi","f",0.307055568044216,"Include"
2376014,"pi","m",-0.302241181195104,"Include"
2376133,"pi","f",1.36694131692493,"Include"
2376147,"pi","f",0.800074084425128,"Include"
2376170,"pi","f",0.845544990566942,"Include"
2376191,"pi","m",0.5940769497978,"Include"
2376237,"pi","f",0.517285974057237,"Include"
2376261,"pi","f",0.315816233041575,"Include"
2376264,"pi","f",0.708051062954055,"Include"
2376348,"pi","m",0.560828262284565,"Include"
2376351,"pi","f",0.653450414168635,"Include"
2376367,"pi","f",0.978983756311422,"Include"
2376368,"pi","m",0.450991594663754,"Include"
2376377,"pi","f",0.2280719992022,"Include"
2376383,"pi","m",0.131801824491326,"Include"
2376385,"pi","f",1.03070953486812,"Include"
2376436,"pi","f",0.753793175707746,"Include"
2376471,"pi","f",1.56807934539436,"Include"
2376485,"pi","f",0.808019251773914,"Include"
2376497,"pi","f",0.873422449146554,"Include"
2376498,"pi","f",0.610230083715518,"Include"
2376509,"pi","f",0.223126077762474,"Include"
2376533,"pi","m",0.723988862033486,"Include"
2376548,"pi","f",0.356381546169778,"Include"
2376570,"pi","f",0.910352715195424,"Include"
2376586,"pi","f",0.289971399970817,"Include"
2376661,"pi","m",-0.116911744752332,"Include"
2376686,"pi","m",0.13984466033495,"Include"
2376712,"pi","f",0.305344921989093,"Include"
2376752,"pi","m",-0.0567629810426242,"Include"
2376766,"pi","f",1.15029490722687,"Include"
2376818,"pi","f",0.0948834859809012,"Include"
2376819,"pi","f",0.480640743544337,"Include"
2376821,"pi","f",0.366510136096737,"Include"
2376845,"pi","f",0.655092690693934,"Include"
2376861,"pi","m",-0.38460186666604,"Include"
2376874,"pi","f",0.439220125126809,"Include"
2376893,"pi","f",0.897060930532121,"Include"
2376918,"pi","f",1.4050426612287,"Include"
2376933,"pi","f",1.17709056053609,"Include"
2376948,"pi","f",1.065093522702,"Include"
2376962,"pi","m",-0.686465076481068,"Include"
2376971,"pi","f",0.617253242349023,"Include"
2376973,"pi","f",0.87380812899123,"Include"
2376988,"pi","f",0.954305131897192,"Include"
2377002,"pi","f",0.241429429128109,"Include"
2377008,"pi","m",0.712459477711577,"Include"
2377060,"pi","f",1.32479125101675,"Include"
2377064,"pi","m",0.601968126345579,"Include"
2377090,"pi","m",0.536486833786484,"Include"
2377110,"pi","m",-0.161655121932516,"Include"
2377134,"pi","f",-0.083958921903448,"Include"
2377163,"pi","m",-0.596250926458519,"Include"
2377180,"pi","f",0.876716072811247,"Include"
2377193,"pi","f",-0.259213877237067,"Include"
2377213,"pi","f",-0.111076671605056,"Include"
2377216,"pi","m",1.1407260000045,"Include"
2377227,"pi","f",0.763117235694331,"Include"
2377235,"pi","f",1.01499391752748,"Include"
2377260,"pi","f",0.95898280753008,"Include"
2377266,"pi","m",-0.533436834350066,"Include"
2377338,"pi","f",0.628127775885888,"Include"
2377354,"pi","f",0.283683834786941,"Include"
2377407,"pi","f",1.1806947422002,"Include"
2377553,"pi","m",1.20363341100909,"Include"
2377933,"pi","f",-0.698507503465997,"Include"
2377957,"pi","m",0.315171845602203,"Include"
2377970,"pi","m",-0.345956504761037,"Include"
2377989,"pi","m",0.671415445436096,"Include"
2377997,"pi","f",1.06596710470311,"Include"
2378031,"pi","f",0.254658303632018,"Include"
2378061,"pi","m",0.670778523293325,"Include"
2378071,"pi","f",0.29347203882141,"Include"
2378073,"pi","f",0.499659382388536,"Include"
2378091,"pi","f",0.277837177680608,"Include"
2378098,"pi","f",0.242150209716651,"Include"
2378104,"pi","f",1.21397087454086,"Include"
2378107,"pi","f",0.508892949549779,"Include"
2378118,"pi","f",0.26606804199448,"Include"
2378148,"pi","f",0.459903210886446,"Include"
2378174,"pi","f",1.01830385646575,"Include"
2378182,"pi","m",0.633896298195585,"Include"
2378202,"pi","f",0.252876806314611,"Include"
2378213,"pi","m",0.728792603375298,"Include"
2378257,"pi","f",0.509450851558386,"Include"
2378277,"pi","m",0.433889299852184,"Include"
2378291,"pi","f",-0.233132597437714,"Include"
2378321,"pi","m",0.432438691774741,"Include"
2378337,"pi","f",0.0551548701682174,"Include"
2378340,"pi","f",0.42616008612986,"Include"
2378511,"pi","f",0.930248452210137,"Include"
2378525,"pi","f",0.60377742002766,"Include"
2378601,"pi","f",0.791064728343905,"Include"
2378622,"pi","m",0.349646628024174,"Include"
2378660,"pi","m",1.09732790262351,"Include"
2378696,"pi","f",0.621855606113274,"Include"
2378706,"pi","f",0.285421145706336,"Include"
2378727,"pi","m",0.806428687799046,"Include"
2378781,"pi","f",-0.0526113469233745,"Include"
2378786,"pi","m",-0.468432852928628,"Include"
2378805,"pi","f",0.598577189961758,"Include"
2378814,"pi","m",0.498143586328934,"Include"
2378846,"pi","f",0.35479709170646,"Include"
2378861,"pi","f",1.1377684840853,"Include"
2378868,"pi","f",-0.082208746078262,"Include"
2378920,"pi","m",0.554699600644038,"Include"
2378931,"pi","f",1.01195699432282,"Include"
2378957,"pi","m",-0.219295312604039,"Include"
2378972,"pi","m",0.546953617984842,"Include"
2378991,"pi","f",0.690890356593232,"Include"
2378998,"pi","m",0.526281794027021,"Include"
2379007,"pi","f",1.05469266955226,"Include"
2379029,"pi","f",0.103463100800008,"Include"
2379037,"pi","f",1.15556679794387,"Include"
2379044,"pi","f",0.874990447577148,"Include"
2379085,"pi","m",0.473737787340652,"Include"
2379090,"pi","f",0.115579477214135,"Include"
2379116,"pi","m",-0.259784859348224,"Include"
2379135,"pi","f",-0.895049780495266,"Include"
2379156,"pi","f",1.32865685983214,"Include"
2379183,"pi","f",0.889360730928445,"Include"
2379190,"pi","f",0.728333833235957,"Include"
