"session_id","referrer","sex","d_art","iat_exclude"
2400853,"abington","f",0.360161457691847,"Include"
2400856,"abington","f",0.581444847764639,"Include"
2400860,"abington","f",0.131484638983778,"Include"
2400868,"abington","m",0.744463326542704,"Include"
2400872,"abington","m",0.0115336979637312,"Include"
2400916,"abington","f",0.845209463062227,"Include"
2400925,"abington","m",0.034177470524869,"Include"
2400934,"abington","m",0.558535739254573,"Include"
2407192,"abington","f",1.04127858872729,"Include"
2407222,"abington","f",0.360377187303815,"Include"
2407225,"abington","f",-0.316108240536468,"Include"
2407227,"abington","f",1.00793875568728,"Include"
2407268,"abington","f",-0.473005799193842,"Include"
2407271,"abington","f",0.921575925423416,"Include"
2407288,"abington","f",0.426062042100181,"Include"
2407289,"abington","f",0.547230756690675,"Include"
2407367,"abington","f",0.320491403332173,"Include"
2407368,"abington","f",0.495847179159044,"Include"
2407369,"abington","f",-0.0642432155846038,"Include"
2407370,"abington","f",-0.216627140284886,"Include"
2407373,"abington","f",1.1215742184235,"Include"
2407395,"abington","m",-0.836691782998749,"Include"
2407403,"abington","m",0.174957786348946,"Include"
2407404,"abington","f",-0.300082796810257,"Include"
2407405,"abington","f",1.17087428665075,"Include"
2407407,"abington","f",0.92431165187334,"Include"
2407412,"abington","m",0.153596098188711,"Include"
2407864,"abington","m",0.512468857218543,"Include"
2407866,"abington","m",-0.333545542143543,"Include"
2407987,"abington","m",-0.408730768341645,"Include"
2408017,"abington","f",-0.103416736274455,"Include"
2408033,"abington","m",-0.0693865241434345,"Include"
2408059,"abington","m",-0.47883818878969,"Include"
2408084,"abington","m",0.266863346949264,"Include"
2409135,"abington","f",0.0542811825812417,"Include"
2409137,"abington","f",1.12485675159476,"Include"
2409138,"abington","f",0.710965450176251,"Include"
2409144,"abington","m",0.133369739331158,"Include"
2409145,"abington","m",0.24077068819561,"Include"
2409147,"abington","f",0.228017154927787,"Include"
2409150,"abington","m",0.0457366069532796,"Include"
2409203,"abington","f",1.30776618574651,"Include"
2409204,"abington","m",-0.424314427237337,"Include"
2409209,"abington","m",-0.267655338470737,"Include"
2409217,"abington","f",0.860929354504213,"Include"
2409255,"abington","f",0.363639825283344,"Include"
2409256,"abington","f",0.999753978433018,"Include"
2409259,"abington","f",-0.353863310797556,"Include"
2409260,"abington","f",0.894799539434488,"Include"
2409552,"abington","f",0.511584703606529,"Include"
2409555,"abington","f",0.684502186288927,"Include"
2409556,"abington","m",-0.855090559735227,"Include"
2409603,"abington","f",0.259833624601192,"Include"
2409605,"abington","f",-0.482370978730369,"Include"
2409606,"abington","f",0.848511948630084,"Include"
2409607,"abington","f",0.421499382400415,"Include"
2410995,"abington","f",0.0587446672410411,"Include"
2410997,"abington","m",0.466143489871549,"Include"
2411137,"abington","f",-0.0136643717138354,"Include"
2411191,"abington","f",1.02859554169666,"Include"
2411195,"abington","f",0.751630417996383,"Include"
2411198,"abington","m",0.709918992093532,"Include"
2411199,"abington","f",0.730576355540294,"Include"
2411202,"abington","f",0.47586075127333,"Include"
2411203,"abington","f",0.582414083125409,"Include"
2411204,"abington","f",0.345107171737151,"Include"
2411301,"abington","f",0.236015080557429,"Include"
2411308,"abington","m",0.596603674740332,"Include"
2411379,"abington","f",0.504522039574268,"Include"
2411382,"abington","f",0.134321424378581,"Include"
2411384,"abington","f",0.938583721641988,"Include"
2411385,"abington","m",0.477688944880487,"Include"
2411395,"abington","f",0.00753817525577834,"Include"
2411401,"abington","f",0.634268277515687,"Include"
2411402,"abington","m",0.486987279963421,"Include"
2411443,"abington","f",-0.223152861743887,"Include"
2411445,"abington","f",0.658346953772576,"Include"
